VM,Datacenter,Cluster,Hard Disk,Datastore,VMConfigFile,VMDKpath
sup16-jd1,AltaroProduction,Cluster,Hard disk 1,SAN_Storage,[SAN_Storage] sup16-jd1/sup16-jd1.vmx,[SAN_Storage] sup16-jd1/sup16-jd1_2.vmdk
sup16-jd1,AltaroProduction,Cluster,Hard disk 2,SAN_Storage,[SAN_Storage] sup16-jd1/sup16-jd1.vmx,[SAN_Storage] sup16-jd1/sup16-jd1_1.vmdk
sup16-jg1,AltaroProduction,Cluster,Hard disk 1,FREENAS SSD,[FREENAS SSD] sup16-jg1/sup16-jg1.vmx,[FREENAS SSD] sup16-jg1/sup16-jg1.vmdk
sup16-mb1,AltaroProduction,Cluster,Hard disk 1,QNAP953,[QNAP953] sup16-mb1/sup16-mb1.vmx,[QNAP953] sup16-mb1/sup16-mb1.vmdk
Sup16-MS1,AltaroProduction,Cluster,Hard disk 1,SAN_Storage,[SAN_Storage] Sup16-MS1/Sup16-MS1.vmx,[SAN_Storage] Sup16-MS1/Sup16-MS1_2-000001.vmdk
Sup16-MS1,AltaroProduction,Cluster,Hard disk 2,SAN_Storage,[SAN_Storage] Sup16-MS1/Sup16-MS1.vmx,[SAN_Storage] Sup16-MS1/Sup16-MS1_1-000001.vmdk
Sup16-nm1,AltaroProduction,Cluster,Hard disk 1,FREENAS HDD1.5,[FREENAS HDD1.5] Sup16-nm1/Sup16-nm1.vmx,[FREENAS HDD1.5] Sup16-nm1/Sup16-nm1-000001.vmdk
Sup16-vn1,AltaroProduction,Cluster,Hard disk 1,FREENAS HDD1.5,[FREENAS HDD1.5] Sup16-vn1/Sup16-vn1.vmx,[FREENAS HDD1.5] Sup16-vn1/Sup16-vn1.vmdk
sup65-1,AltaroProduction,Cluster,Hard disk 1,SAN_Storage,[SAN_Storage] sup65-1/sup65-1.vmx,[SAN_Storage] sup65-1/sup65-1.vmdk
sup65-2,AltaroProduction,Cluster,Hard disk 1,SAN_Storage,[SAN_Storage] sup65-2/sup65-2.vmx,[SAN_Storage] sup65-2/sup65-2.vmdk
supvc65-2,AltaroProduction,Cluster,Hard disk 1,SAN_Storage,[SAN_Storage] supvc65-2/supvc65-2.vmx,[SAN_Storage] supvc65-2/supvc65-2.vmdk
supvc65-2,AltaroProduction,Cluster,Hard disk 10,SAN_Storage,[SAN_Storage] supvc65-2/supvc65-2.vmx,[SAN_Storage] supvc65-2/supvc65-2_9.vmdk
supvc65-2,AltaroProduction,Cluster,Hard disk 11,SAN_Storage,[SAN_Storage] supvc65-2/supvc65-2.vmx,[SAN_Storage] supvc65-2/supvc65-2_10.vmdk
supvc65-2,AltaroProduction,Cluster,Hard disk 12,SAN_Storage,[SAN_Storage] supvc65-2/supvc65-2.vmx,[SAN_Storage] supvc65-2/supvc65-2_11.vmdk
supvc65-2,AltaroProduction,Cluster,Hard disk 2,SAN_Storage,[SAN_Storage] supvc65-2/supvc65-2.vmx,[SAN_Storage] supvc65-2/supvc65-2_1.vmdk
supvc65-2,AltaroProduction,Cluster,Hard disk 3,SAN_Storage,[SAN_Storage] supvc65-2/supvc65-2.vmx,[SAN_Storage] supvc65-2/supvc65-2_2.vmdk
supvc65-2,AltaroProduction,Cluster,Hard disk 4,SAN_Storage,[SAN_Storage] supvc65-2/supvc65-2.vmx,[SAN_Storage] supvc65-2/supvc65-2_3.vmdk
supvc65-2,AltaroProduction,Cluster,Hard disk 5,SAN_Storage,[SAN_Storage] supvc65-2/supvc65-2.vmx,[SAN_Storage] supvc65-2/supvc65-2_4.vmdk
supvc65-2,AltaroProduction,Cluster,Hard disk 6,SAN_Storage,[SAN_Storage] supvc65-2/supvc65-2.vmx,[SAN_Storage] supvc65-2/supvc65-2_5.vmdk
supvc65-2,AltaroProduction,Cluster,Hard disk 7,SAN_Storage,[SAN_Storage] supvc65-2/supvc65-2.vmx,[SAN_Storage] supvc65-2/supvc65-2_6.vmdk
supvc65-2,AltaroProduction,Cluster,Hard disk 8,SAN_Storage,[SAN_Storage] supvc65-2/supvc65-2.vmx,[SAN_Storage] supvc65-2/supvc65-2_7.vmdk
supvc65-2,AltaroProduction,Cluster,Hard disk 9,SAN_Storage,[SAN_Storage] supvc65-2/supvc65-2.vmx,[SAN_Storage] supvc65-2/supvc65-2_8.vmdk
Test2016DEV,AltaroProduction,Cluster,Hard disk 1,SAN_Storage,[SAN_Storage] Test2016DEV/Test2016DEV.vmx,[SAN_Storage] Test2016DEV/Test2016DEV.vmdk
TSUPP-1 || 2012 | Matthew AgiusMuscat | 192.168.16.90,AltaroProduction,Cluster,Hard disk 1,QNAP953,[QNAP953] TSUPP-1 __ 2012 _ Matthew AgiusMuscat _ 192.168.16.90/TSUPP-1 __ 2012 _ Matthew AgiusMuscat _ 192.168.16.90.vmx,[QNAP953] TSUPP-1 __ 2012 _ Matthew AgiusMuscat _ 192.168.16.90/TSUPP-1 __ 2012 _ Matthew AgiusMuscat _ 192.168.16.90_3.vmdk
TSUPP-2 | 2008 R2 | Shared | 192.168.16.91,AltaroProduction,Cluster,Hard disk 1,16.120 Main Datastore,[16.120 Main Datastore] TSUPP-2/TSUPP-2.vmx,[16.120 Main Datastore] TSUPP-2/TSUPP-2.vmdk
